Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
2610806,Pedra (PE),250544,15226,28658,50774,55848,100039
2610905,Pesqueira (PE),728181,66737,36485,52646,281416,290897
2611002,Petrolândia (PE),1475796,48102,57413,934296,259087,176898
2611101,Petrolina (PE),7266146,760369,1075282,733862,3198266,1498368
2611200,Poção (PE),86447,4185,3500,2757,22345,53660
2611309,Pombos (PE),437572,47680,40642,78437,149395,121417
2611408,Primavera (PE),167443,8076,18937,33399,36197,70833
2611507,Quipapá (PE),184603,7767,15113,5425,45645,110653
2611533,Quixaba (PE),56394,1875,5347,1506,13907,33759
2611606,Recife (PE),54691223,8898346,51037,5471173,32806964,7463702
2611705,Riacho das Almas (PE),193011,8902,27080,8261,54901,93867
2611804,Ribeirão (PE),464016,29958,51786,35687,145027,201558
2611903,Rio Formoso (PE),270464,15706,32464,38987,69074,114234
2612000,Sairé (PE),136559,8226,30387,4453,41751,51742
2612109,Salgadinho (PE),71670,1689,2835,1476,13621,52049
2612208,Salgueiro (PE),978059,114816,18588,107066,467516,270074
2612307,Saloá (PE),131143,4662,16397,10114,30548,69422
2612406,Sanharó (PE),212090,12814,18958,7300,63434,109584
2612455,Santa Cruz (PE),121402,5068,15543,3350,28049,69391
2612471,Santa Cruz da Baixa Verde (PE),98084,4412,5524,4235,24717,59195
2612505,Santa Cruz do Capibaribe (PE),1584520,197508,4071,221988,714222,446731
2612554,Santa Filomena (PE),101168,3940,5394,3647,22040,66147
2612604,Santa Maria da Boa Vista (PE),650265,25359,271458,24250,123492,205706
2612703,Santa Maria do Cambucá (PE),110899,6049,1756,7907,32254,62933
2612802,Santa Terezinha (PE),90715,3904,4035,5971,22489,54316
2612901,São Benedito do Sul (PE),103172,2615,7969,2339,18783,71467
2613008,São Bento do Una (PE),1297042,40683,794584,40666,174889,246220
2613107,São Caitano (PE),377231,29582,27680,34925,123056,161987
2613206,São João (PE),238786,15048,46855,8047,63917,104918
2613305,São Joaquim do Monte (PE),168711,7652,12822,5166,46204,96867
2613404,São José da Coroa Grande (PE),241196,23936,10714,10682,99616,96247
2613503,São José do Belmonte (PE),290609,18290,13212,14814,95457,148836
2613602,São José do Egito (PE),409846,30932,56003,35186,138450,149276
2613701,São Lourenço da Mata (PE),1259339,131984,19011,123704,527295,457346
2613800,São Vicente Férrer (PE),273365,11148,117589,7082,56495,81051
2613909,Serra Talhada (PE),1541192,224975,30700,125388,786671,373457
2614006,Serrita (PE),138385,4362,9104,3622,30592,90705
2614105,Sertânia (PE),550782,49270,11444,203503,129004,157561
2614204,Sirinhaém (PE),521382,37571,53159,82789,145215,202649
2614303,Moreilândia (PE),84572,2650,3440,1925,19670,56887
2614402,Solidão (PE),45989,1084,4064,934,9289,30617
2614501,Surubim (PE),810721,82200,7562,71743,383020,266195
2614600,Tabira (PE),280165,22275,12812,13848,107478,123752
2614709,Tacaimbó (PE),199777,8543,78703,19676,34388,58467
2614808,Tacaratu (PE),182089,8691,7179,8826,43606,113788
2614857,Tamandaré (PE),318937,22427,11980,18462,150382,115688
2615003,Taquaritinga do Norte (PE),298466,18594,9904,54920,92765,122283
2615102,Terezinha (PE),65888,1997,7939,2643,13223,40085
2615201,Terra Nova (PE),70572,2266,2113,2269,16626,47298
2615300,Timbaúba (PE),674549,61293,17435,55922,308370,231529
2615409,Toritama (PE),709089,74917,348,140850,298961,194012
2615508,Tracunhaém (PE),128548,6011,18798,5458,35767,62512
2615607,Trindade (PE),322946,24844,3537,53370,108344,132851
2615706,Triunfo (PE),148289,9370,8054,4926,54519,71421
2615805,Tupanatinga (PE),193423,8287,15662,6300,42624,120549
2615904,Tuparetama (PE),82649,5354,5217,3401,27749,40928
2616001,Venturosa (PE),210081,10552,21742,40607,54939,82242
2616100,Verdejante (PE),75579,2473,4217,3006,19725,46157
2616183,Vertente do Lério (PE),67431,2261,1702,8810,15776,38882
2616209,Vertentes (PE),171586,11795,2536,7295,60897,89063
2616308,Vicência (PE),475915,17591,178566,34768,97196,147794
