Cód.,Município,PIB (Mil Reais),Impostos (Mil Reais),VA da agropecuária (Mil Reais),VA da indústria (Mil Reais),VA dos serviços (Mil Reais),VA da administração pública (Mil Reais)
1100015,Alta Floresta D'Oeste (RO),495629,29351,162668,14441,130220,158948
1100023,Ariquemes (RO),2578830,284398,170831,283899,1136039,703663
1100031,Cabixi (RO),139959,5998,61501,3267,25547,43646
1100049,Cacoal (RO),2260644,253988,193077,178514,1070827,564238
1100056,Cerejeiras (RO),506854,76671,70992,16167,230623,112401
1100064,Colorado do Oeste (RO),334851,22070,72324,20610,110968,108878
1100072,Corumbiara (RO),349247,10548,238296,8457,33355,58592
1100080,Costa Marques (RO),238769,8220,67535,4287,45147,113579
1100098,Espigão D'Oeste (RO),624760,53501,128213,47842,193941,201263
1100106,Guajará-Mirim (RO),892883,126978,49489,24141,394562,297713
1100114,Jaru (RO),1500890,176675,169612,168855,647003,338745
1100122,Ji-Paraná (RO),3782972,521760,140589,519085,1800964,800573
1100130,Machadinho D'Oeste (RO),633007,33154,175136,35327,138281,251109
1100148,Nova Brasilândia D'Oeste (RO),359524,23790,102520,13758,86328,133128
1100155,Ouro Preto do Oeste (RO),834168,65480,136452,77450,314695,240092
1100189,Pimenta Bueno (RO),1163877,200572,117084,148395,448038,249788
1100205,Porto Velho (RO),17912070,2225078,647447,4311752,7194917,3532877
1100254,Presidente Médici (RO),427752,35216,107464,33043,126290,125738
1100262,Rio Crespo (RO),111023,3567,61267,2878,11443,31868
1100288,Rolim de Moura (RO),1283434,122884,95724,176673,527989,360165
1100296,Santa Luzia D'Oeste (RO),142612,5531,51375,9397,27147,49161
1100304,Vilhena (RO),2831175,411109,120729,316934,1307160,675243
1100320,São Miguel do Guaporé (RO),615804,37649,203024,72792,147739,154599
1100338,Nova Mamoré (RO),529261,20475,199540,19160,97426,192660
1100346,Alvorada D'Oeste (RO),260348,10423,81159,8651,60941,99175
1100379,Alto Alegre dos Parecis (RO),288681,11248,133292,10228,43656,90258
1100403,Alto Paraíso (RO),358464,18150,102009,19732,84860,133713
1100452,Buritis (RO),726031,53931,189293,29260,207796,245751
1100502,Novo Horizonte do Oeste (RO),165758,7691,56866,8202,34589,58410
1100601,Cacaulândia (RO),144437,3884,74141,1982,20382,44048
1100700,Campo Novo de Rondônia (RO),274627,6891,130140,16733,26165,94699
1100809,Candeias do Jamari (RO),547919,24196,90307,142122,111729,179565
1100908,Castanheiras (RO),103963,2359,66789,1075,7601,26139
1100924,Chupinguaia (RO),304759,15572,111320,38695,54137,85035
1100940,Cujubim (RO),384878,16601,99672,53221,62854,152530
1101005,Governador Jorge Teixeira (RO),177922,4758,96746,2851,17282,56284
1101104,Itapuã do Oeste (RO),184014,9748,57717,12687,34469,69394
1101203,Ministro Andreazza (RO),216409,13710,79607,9981,48108,65003
1101302,Mirante da Serra (RO),217046,10630,64439,9287,60690,72000
1101401,Monte Negro (RO),291768,12800,96701,19051,60103,103113
1101435,Nova União (RO),117334,4181,49503,2096,14376,47178
1101450,Parecis (RO),107283,3072,47931,2624,11502,42155
1101468,Pimenteiras do Oeste (RO),116503,3303,71494,3708,13504,24493
1101476,Primavera de Rondônia (RO),61841,2122,23769,1093,9001,25856
1101484,São Felipe D'Oeste (RO),89230,3358,32793,1304,14573,37203
1101492,São Francisco do Guaporé (RO),353247,17930,124254,10623,72245,128195
1101500,Seringueiras (RO),236312,14489,82757,7087,50402,81576
1101559,Teixeirópolis (RO),92328,3330,42256,2478,11950,32315
1101609,Theobroma (RO),191509,5509,92112,3243,18587,72058
1101708,Urupá (RO),215381,8968,78932,4662,45211,77608
1101757,Vale do Anari (RO),166786,5360,61215,4650,21073,74487
1101807,Vale do Paraíso (RO),146564,5088,72709,2123,17988,48657
1200013,Acrelândia (AC),253610,17829,65080,10300,60469,99931
1200054,Assis Brasil (AC),93054,2405,16914,2389,16991,54356
1200104,Brasiléia (AC),454803,61583,62441,29265,128740,172773
1200138,Bujari (AC),157656,2880,59824,4101,22757,68094
1200179,Capixaba (AC),153210,4111,46667,2945,20266,79220
1200203,Cruzeiro do Sul (AC),1440379,121553,53940,107872,598709,558304
1200252,Epitaciolândia (AC),423163,63833,34178,12738,196070,116344
1200302,Feijó (AC),356965,15256,40979,10619,77885,212226
1200328,Jordão (AC),82484,1772,6754,1998,11459,60501
1200336,Mâncio Lima (AC),205845,4691,27387,6526,38971,128271
1200344,Manoel Urbano (AC),131565,8495,19194,15379,24054,64443
1200351,Marechal Thaumaturgo (AC),195237,3335,27933,5029,24771,134169
1200385,Plácido de Castro (AC),264938,17398,56488,7543,59197,124312
1200393,Porto Walter (AC),118847,2600,12748,3185,16834,83480
1200401,Rio Branco (AC),9143620,1268043,128862,703961,4449285,2593470
1200427,Rodrigues Alves (AC),191534,3130,29946,4546,25613,128299
1200435,Santa Rosa do Purus (AC),75198,1712,12836,1851,10800,47998
1200450,Senador Guiomard (AC),361398,23083,73573,14703,98952,151086
1200500,Sena Madureira (AC),540236,21151,88586,18481,130902,281115
1200609,Tarauacá (AC),483687,22343,57080,14624,116887,272753
1200708,Xapuri (AC),275091,17845,59466,14517,60742,122521
1200807,Porto Acre (AC),227499,5677,64080,5105,32403,120234
1300029,Alvarães (AM),196046,3467,60766,10667,31192,89954
1300060,Amaturá (AM),95482,2011,13711,5272,16093,58394
1300086,Anamã (AM),121824,2234,36341,6717,18293,58239
1300102,Anori (AM),199544,5317,61089,9733,30060,93345
1300144,Apuí (AM),227137,8162,58564,19793,44457,96161
1300201,Atalaia do Norte (AM),150976,3371,19464,5497,22110,100534
1300300,Autazes (AM),382957,13046,79373,24476,71874,194188
1300409,Barcelos (AM),190316,5146,10811,13568,36473,124319
1300508,Barreirinha (AM),279552,8346,41507,14184,49823,165692
1300607,Benjamin Constant (AM),350838,13062,31394,27397,68083,210900
1300631,Beruri (AM),166374,3989,17996,9879,30657,103853
1300680,Boa Vista do Ramos (AM),148984,3930,16132,8438,27661,92822
1300706,Boca do Acre (AM),428530,25057,86602,59834,100484,156553
1300805,Borba (AM),327113,10804,40315,18491,63940,193563
1300839,Caapiranga (AM),169202,2628,63542,8103,24760,70169
1300904,Canutama (AM),125867,4004,15018,6795,23232,76818
1301001,Carauari (AM),337838,16996,88516,24526,79457,128343
1301100,Careiro (AM),329006,11973,51929,26390,62329,176385
1301159,Careiro da Várzea (AM),314131,4082,136485,11261,28714,133590
1301209,Coari (AM),2212267,84498,91542,1091724,463251,481251
1301308,Codajás (AM),504601,7124,312019,17672,41423,126363
1301407,Eirunepé (AM),481801,11185,213286,20656,69043,167632
1301506,Envira (AM),172573,3591,38537,9188,28813,92444
1301605,Fonte Boa (AM),187111,6941,23281,12461,38365,106063
1301654,Guajará (AM),132613,3719,16847,6470,24378,81198
1301704,Humaitá (AM),698421,51229,145215,53568,213839,234570
1301803,Ipixuna (AM),173479,3256,15043,6980,24839,123361
1301852,Iranduba (AM),664200,33287,107341,99891,162751,260930
1301902,Itacoatiara (AM),2034551,150764,397874,172886,826837,486190
1301951,Itamarati (AM),102298,2558,28414,6069,18574,46682
1302009,Itapiranga (AM),129557,4646,41097,8034,24875,50906
1302108,Japurá (AM),64130,1378,15673,4589,11954,30535
1302207,Juruá (AM),116499,3165,19564,7144,17751,68876
1302306,Jutaí (AM),227757,6188,71652,13072,44714,92131
1302405,Lábrea (AM),506494,18852,172310,27383,96067,191882
1302504,Manacapuru (AM),1451150,51036,545461,122255,308304,424093
1302553,Manaquiri (AM),262444,6628,74228,12894,33326,135368
1302603,Manaus (AM),84867423,16512006,206306,29839512,28503902,9805697
1302702,Manicoré (AM),543051,21590,129386,47073,111912,233090
1302801,Maraã (AM),138678,2837,15926,7676,17877,94362
1302900,Maués (AM),541700,26896,59974,37109,123315,294406
1303007,Nhamundá (AM),167119,6047,19212,10055,35121,96684
1303106,Nova Olinda do Norte (AM),276298,8842,31244,15865,49543,170803
1303205,Novo Airão (AM),168560,5881,14656,12793,40007,95224
1303304,Novo Aripuanã (AM),211910,6230,42540,14611,36191,112338
1303403,Parintins (AM),1177067,53714,250011,86909,288682,497751
1303502,Pauini (AM),166411,4343,32004,7294,27556,95215
1303536,Presidente Figueiredo (AM),957599,27893,90362,435617,168780,234947
1303569,Rio Preto da Eva (AM),414099,17565,141806,43812,67455,143462
1303601,Santa Isabel do Rio Negro (AM),152531,3243,15845,6002,20725,106716
1303700,Santo Antônio do Içá (AM),189424,5785,30500,9464,31744,111929
1303809,São Gabriel da Cachoeira (AM),357535,20468,11903,24394,94712,206058
1303908,São Paulo de Olivença (AM),283761,6383,26812,14623,45972,189971
1303957,São Sebastião do Uatumã (AM),122570,3669,24928,6856,21861,65255
1304005,Silves (AM),114322,3117,41664,5557,15986,47998
1304062,Tabatinga (AM),616651,48282,17756,43063,196514,311035
1304104,Tapauá (AM),194025,4432,49248,11260,32838,96247
1304203,Tefé (AM),1022967,48150,167293,259995,253432,294097
1304237,Tonantins (AM),147639,2634,20604,7215,24124,93062
1304260,Uarini (AM),198161,5554,80054,9881,32803,69869
1304302,Urucará (AM),303914,6203,168138,10470,35512,83590
1304401,Urucurituba (AM),184017,6408,23356,11589,37535,105128
1400027,Amajari (RR),187546,2180,35935,12014,14552,122866
1400050,Alto Alegre (RR),315398,4602,100547,15907,37304,157038
1400100,Boa Vista (RR),10571980,1089441,91986,773067,4510541,4106945
1400159,Bonfim (RR),337915,5244,129139,32485,40544,130503
1400175,Cantá (RR),293041,15870,37620,26935,31421,181195
1400209,Caracaraí (RR),377975,22364,42392,19034,66261,227924
1400233,Caroebe (RR),199390,4214,58973,5602,28503,102098
1400282,Iracema (RR),162279,2464,19456,5207,17263,117888
1400308,Mucajaí (RR),319301,22215,36070,21639,62063,177314
1400407,Normandia (RR),178802,2038,30743,9539,18315,118167
1400456,Pacaraima (RR),259024,15987,7557,3796,61748,169936
1400472,Rorainópolis (RR),611056,53801,63822,55082,125641,312711
1400506,São João da Baliza (RR),209231,44852,28799,17528,34524,83529
1400605,São Luiz (RR),147628,9583,29207,7530,21138,80171
1400704,Uiramutã (RR),121662,805,5775,4011,6327,104744
1500107,Abaetetuba (PA),1494985,120500,147547,66685,553738,606515
1500131,Abel Figueiredo (PA),85169,6355,15164,6980,23973,32697
1500206,Acará (PA),757480,24083,330926,32313,110527,259632
1500305,Afuá (PA),370459,10254,112191,16968,50886,180160
1500347,Água Azul do Norte (PA),434588,52893,146614,81941,51903,101237
1500404,Alenquer (PA),571525,19624,186125,20966,125710,219101
1500503,Almeirim (PA),544875,63439,62331,120050,136900,162155
1500602,Altamira (PA),2778920,274093,251964,533753,1222020,497089
1500701,Anajás (PA),214508,8159,31427,8206,35924,130792
1500800,Ananindeua (PA),8165793,1068364,10379,1100863,4254242,1731945
1500859,Anapu (PA),416308,36017,120157,18450,122930,118754
1500909,Augusto Corrêa (PA),326463,10792,35796,13241,58185,208449
1500958,Aurora do Pará (PA),221603,7961,39712,8763,39750,125417
1501006,Aveiro (PA),123619,1811,33280,3442,13283,71802
1501105,Bagre (PA),203892,3218,57320,5927,23146,114281
1501204,Baião (PA),474768,9948,189616,15416,69402,190385
1501253,Bannach (PA),81192,2297,47113,1577,10243,19962
1501303,Barcarena (PA),5369310,1400859,79134,2123634,1196103,569580
1501402,Belém (PA),32405323,5473549,75550,3466825,18073651,5315747
1501451,Belterra (PA),164295,6694,33639,8236,34235,81490
1501501,Benevides (PA),1560562,313098,3675,413686,586109,243994
1501576,Bom Jesus do Tocantins (PA),174617,8769,46944,6778,40336,71790
1501600,Bonito (PA),160242,20812,15553,43015,22684,58178
1501709,Bragança (PA),1164844,85302,129709,69865,420537,459431
1501725,Brasil Novo (PA),277024,16695,105931,13121,71416,69861
1501758,Brejo Grande do Araguaia (PA),81835,3995,23925,3087,18149,32677
1501782,Breu Branco (PA),601988,58383,82732,70911,136608,253355
1501808,Breves (PA),809323,42585,42231,31376,222706,470425
1501907,Bujaru (PA),414517,7254,215707,18103,53546,119908
1501956,Cachoeira do Piriá (PA),183469,5450,25042,5561,26548,120867
1502004,Cachoeira do Arari (PA),193879,4879,65059,6082,27770,90088
1502103,Cametá (PA),1150930,47051,281206,35861,262000,524812
1502152,Canaã dos Carajás (PA),10710595,260682,65668,8476389,1598745,309112
1502202,Capanema (PA),1107441,138967,80938,93461,540911,253164
1502301,Capitão Poço (PA),679266,27249,248654,40642,158288,204433
1502400,Castanhal (PA),4040635,614383,128363,605342,1906677,785869
1502509,Chaves (PA),195354,2702,70060,4290,14807,103496
1502608,Colares (PA),85250,2589,13713,2680,16584,49684
1502707,Conceição do Araguaia (PA),549078,42680,77638,32247,210015,186498
1502756,Concórdia do Pará (PA),293446,16052,42897,13531,75844,145122
1502764,Cumaru do Norte (PA),287185,9907,171898,6154,40500,58727
1502772,Curionópolis (PA),944530,36011,61195,588478,160475,98371
1502806,Curralinho (PA),254633,7346,42714,7066,42513,154994
1502855,Curuá (PA),130093,3056,33841,4960,20183,68054
1502905,Curuçá (PA),290924,9566,67247,9603,57168,147339
1502939,Dom Eliseu (PA),629324,59880,84584,39520,241646,203694
1502954,Eldorado do Carajás (PA),415872,38358,79454,41398,127763,128900
1503002,Faro (PA),58348,2445,5626,2317,14877,33082
1503044,Floresta do Araguaia (PA),273289,12384,102002,13048,58644,87211
1503077,Garrafão do Norte (PA),225172,7710,44375,8485,46568,118034
1503093,Goianésia do Pará (PA),348125,22789,59859,16280,90518,158680
1503101,Gurupá (PA),271950,7307,48677,8243,47770,159953
1503200,Igarapé-Açu (PA),347116,25430,56277,23477,103929,138004
1503309,Igarapé-Miri (PA),521728,25100,99427,25283,105019,266899
1503408,Inhangapi (PA),120139,7116,40565,12806,15582,44068
1503457,Ipixuna do Pará (PA),578056,25393,45040,158984,97831,250809
1503507,Irituia (PA),221162,8815,33663,7870,52410,118404
1503606,Itaituba (PA),2046616,213966,122129,330096,945001,435424
1503705,Itupiranga (PA),581801,21829,201106,40009,112722,206134
1503754,Jacareacanga (PA),526086,10233,47714,257874,48641,161624
1503804,Jacundá (PA),489517,39030,39316,29723,179767,201679
1503903,Juruti (PA),1207211,50391,99663,528609,270852,257695
1504000,Limoeiro do Ajuru (PA),424661,4402,270102,5517,26009,118632
1504059,Mãe do Rio (PA),292628,20919,17234,13083,110361,131031
1504109,Magalhães Barata (PA),74304,1681,21485,2772,12068,36299
1504208,Marabá (PA),11417650,953627,348435,5399310,3477437,1238841
1504307,Maracanã (PA),229127,5601,55607,9502,39838,118580
1504406,Marapanim (PA),213436,6834,35277,7748,50023,113554
1504422,Marituba (PA),1932710,254173,1833,219827,924953,531925
1504455,Medicilândia (PA),655466,29458,347224,27877,129793,121114
1504505,Melgaço (PA),181091,4617,21573,5253,25459,124189
1504604,Mocajuba (PA),380344,12616,144230,16524,61369,145605
1504703,Moju (PA),818858,82306,182954,62680,232089,258828
1504752,Mojuí dos Campos (PA),171488,10291,37789,8025,41413,73972
1504802,Monte Alegre (PA),624755,27992,165597,23889,158145,249132
1504901,Muaná (PA),259276,6424,78518,7505,35722,131107
1504950,Nova Esperança do Piriá (PA),209132,7489,57261,7665,41466,95251
1504976,Nova Ipixuna (PA),158816,8532,40033,6557,35861,67833
1505007,Nova Timboteua (PA),116213,6634,13516,5295,31631,59136
1505031,Novo Progresso (PA),700091,83639,143134,68431,279928,124958
1505064,Novo Repartimento (PA),833419,52230,225330,27990,211269,316599
1505106,Óbidos (PA),979070,26977,528614,48485,151373,223621
1505205,Oeiras do Pará (PA),363771,7637,158995,9410,45459,142271
1505304,Oriximiná (PA),2087921,96792,162616,1062245,470556,295711
1505403,Ourém (PA),185857,8724,56649,13846,41910,64727
1505437,Ourilândia do Norte (PA),635604,102935,46989,162053,183573,140054
1505486,Pacajá (PA),678532,27731,300935,29089,124863,195915
1505494,Palestina do Pará (PA),72486,2947,18174,3272,14767,33326
1505502,Paragominas (PA),3136001,269863,227898,1088246,1059922,490071
1505536,Parauapebas (PA),23035847,847676,186153,16463402,4240238,1298378
1505551,Pau D'Arco (PA),89237,5631,26936,3266,22653,30751
1505601,Peixe-Boi (PA),53926,1735,7340,2141,10055,32655
1505635,Piçarra (PA),212344,9477,102149,12100,31429,57189
1505650,Placas (PA),259230,9349,84233,8317,43901,113430
1505700,Ponta de Pedras (PA),222251,7695,53065,5421,41466,114604
1505809,Portel (PA),788181,16906,358746,34876,100409,277244
1505908,Porto de Moz (PA),322595,12093,61991,12033,59478,177000
1506005,Prainha (PA),293716,5992,104893,10171,42789,129872
1506104,Primavera (PA),237431,48597,3155,101672,34694,49314
1506112,Quatipuru (PA),100238,3357,23967,2787,18562,51566
1506138,Redenção (PA),1867763,263467,75322,219992,973632,335350
1506161,Rio Maria (PA),495741,64778,138343,85983,128478,78159
1506187,Rondon do Pará (PA),534711,34934,85143,35114,170779,208742
1506195,Rurópolis (PA),376324,25236,67467,28922,80519,174178
1506203,Salinópolis (PA),532188,49680,14401,61939,241386,164783
1506302,Salvaterra (PA),180643,8150,26675,7967,47800,90050
1506351,Santa Bárbara do Pará (PA),181391,16597,7509,41595,35833,79857
1506401,Santa Cruz do Arari (PA),71848,1482,24512,1348,7639,36867
1506500,Santa Izabel do Pará (PA),796709,87803,100957,65999,281293,260656
1506559,Santa Luzia do Pará (PA),161038,8477,22828,5385,43286,81063
1506583,Santa Maria das Barreiras (PA),499466,18446,190569,122232,82698,85521
1506609,Santa Maria do Pará (PA),291669,22049,59398,22067,95509,92646
1506708,Santana do Araguaia (PA),1036055,118984,210176,160078,299204,247614
1506807,Santarém (PA),5126172,549960,290407,476657,2624481,1184666
1506906,Santarém Novo (PA),45343,1221,6921,1965,7264,27971
1507003,Santo Antônio do Tauá (PA),385919,23329,127920,34179,72228,128262
1507102,São Caetano de Odivelas (PA),145761,5084,37317,5434,28895,69031
1507151,São Domingos do Araguaia (PA),285259,15586,77033,15248,78084,99307
1507201,São Domingos do Capim (PA),346817,7313,139550,12944,50335,136675
1507300,São Félix do Xingu (PA),1450327,84656,454994,193022,283344,434312
1507409,São Francisco do Pará (PA),240873,11986,97853,11431,54379,65225
1507458,São Geraldo do Araguaia (PA),521744,69219,98403,95163,138961,119998
1507466,São João da Ponta (PA),46628,1336,11825,1546,6304,25617
1507474,São João de Pirabas (PA),169548,7987,21402,9615,34114,96431
1507508,São João do Araguaia (PA),134015,5392,35625,7237,21095,64667
1507607,São Miguel do Guamá (PA),631773,35994,179242,39842,151241,225454
1507706,São Sebastião da Boa Vista (PA),205087,5320,55128,5130,31087,108423
1507755,Sapucaia (PA),106318,7775,33573,6876,25698,32397
1507805,Senador José Porfírio (PA),163414,6176,59349,6960,33283,57647
1507904,Soure (PA),197890,7843,33853,7165,49150,99880
1507953,Tailândia (PA),951254,89496,84361,104920,285770,386708
1507961,Terra Alta (PA),71606,2189,6574,2667,14697,45480
1507979,Terra Santa (PA),464655,10252,15434,272655,80860,85453
1508001,Tomé-Açu (PA),713215,57751,111046,58155,217023,269240
1508035,Tracuateua (PA),232494,7047,42828,10355,40280,131985
1508050,Trairão (PA),286791,24556,85780,11697,89298,75459
1508084,Tucumã (PA),827871,121098,93339,137262,315221,160951
1508100,Tucuruí (PA),5318264,115396,46386,4080703,549904,525876
1508126,Ulianópolis (PA),1590909,42697,1018656,142321,178696,208539
1508159,Uruará (PA),610827,42784,192105,30464,166842,178633
1508209,Vigia (PA),388468,20251,68689,14689,105490,179349
1508308,Viseu (PA),491156,13472,136504,18475,76803,245901
1508357,Vitória do Xingu (PA),4051017,84144,74359,3711546,92215,88753
1508407,Xinguara (PA),1294077,214269,106014,292932,468304,212558
1600055,Serra do Navio (AP),72869,1576,3756,2495,10779,54262
1600105,Amapá (AP),156504,5745,23736,3638,36512,86873
1600154,Pedra Branca do Amapari (AP),333246,41028,5783,77732,44845,163859
1600204,Calçoene (AP),163463,5918,14346,6159,34973,102068
1600212,Cutias (AP),82037,1194,16804,1130,8577,54332
1600238,Ferreira Gomes (AP),494386,3993,16142,357127,25026,92098
1600253,Itaubal (AP),74933,767,9740,1471,8299,54656
1600279,Laranjal do Jari (AP),970378,23557,11810,278376,182021,474614
1600303,Macapá (AP),11434726,894859,61560,605984,5283473,4588850
1600402,Mazagão (AP),290136,8854,25637,16423,38710,200512
1600501,Oiapoque (AP),460644,23899,16105,15514,143031,262095
1600535,Porto Grande (AP),338260,12550,28270,18934,67249,211256
1600550,Pracuúba (AP),71659,599,15932,958,5476,48693
1600600,Santana (AP),2125735,140509,17724,124364,735071,1108067
1600709,Tartarugalzinho (AP),231685,3250,37103,5221,24985,161126
1600808,Vitória do Jari (AP),196000,4164,6879,9116,24274,151567
1700251,Abreulândia (TO),53932,1334,24134,1744,7699,19020
1700301,Aguiarnópolis (TO),162878,22407,14217,18654,61552,46049
1700350,Aliança do Tocantins (TO),109341,6207,26734,6393,32589,37418
1700400,Almas (TO),171908,5058,93434,4321,23506,45588
1700707,Alvorada (TO),335011,47302,47865,45608,137469,56767
1701002,Ananás (TO),148448,7367,35099,4559,37440,63983
1701051,Angico (TO),38891,1131,6157,1246,5625,24731
1701101,Aparecida do Rio Negro (TO),127070,4408,56742,3753,27821,34347
1701309,Aragominas (TO),67881,1475,18964,1767,7422,38253
1701903,Araguacema (TO),143547,4528,60671,4429,24626,49294
1702000,Araguaçu (TO),449448,11470,308531,7404,63083,58960
1702109,Araguaína (TO),4710555,525270,58635,568796,2376477,1181376
1702158,Araguanã (TO),69802,2214,15164,2796,10932,38695
1702208,Araguatins (TO),446449,23316,38461,20288,136915,227469
1702307,Arapoema (TO),179081,4691,28546,68429,33766,43649
1702406,Arraias (TO),208988,21240,40885,26714,49523,70626
1702554,Augustinópolis (TO),280534,19325,12421,18533,110256,119999
1702703,Aurora do Tocantins (TO),46879,1516,10011,2128,7428,25798
1702901,Axixá do Tocantins (TO),133247,6155,18576,3981,31748,72787
1703008,Babaçulândia (TO),112240,2897,24599,3659,14300,66785
1703057,Bandeirantes do Tocantins (TO),103133,2498,27017,31903,13591,28124
1703073,Barra do Ouro (TO),57835,1861,13773,1631,8901,31670
1703107,Barrolândia (TO),95659,6447,15845,6413,27716,39239
1703206,Bernardo Sayão (TO),75467,5812,20599,3571,13119,32366
1703305,Bom Jesus do Tocantins (TO),123267,2189,70067,3419,14206,33387
1703602,Brasilândia do Tocantins (TO),43680,2814,8394,1196,12429,18847
1703701,Brejinho de Nazaré (TO),170056,5355,100120,4095,21638,38848
1703800,Buriti do Tocantins (TO),108195,4249,7307,4701,20456,71481
1703826,Cachoeirinha (TO),29532,983,4297,762,4789,18701
1703842,Campos Lindos (TO),333989,14867,160152,9481,79347,70141
1703867,Cariri do Tocantins (TO),364639,63103,39210,56715,169994,35618
1703883,Carmolândia (TO),41443,1649,7614,1406,8554,22219
1703891,Carrasco Bonito (TO),43325,1029,5192,1844,5697,29563
1703909,Caseara (TO),168353,7884,72873,11118,37721,38757
1704105,Centenário (TO),42480,1371,12515,876,6358,21360
1704600,Chapada de Areia (TO),24102,518,9447,642,2720,10775
1705102,Chapada da Natividade (TO),68791,2068,29314,2181,10592,24635
1705508,Colinas do Tocantins (TO),798789,83801,29006,56906,388585,240490
1705557,Combinado (TO),73776,5458,5689,3359,26739,32531
1705607,Conceição do Tocantins (TO),57995,3607,6996,1894,15376,30123
1706001,Couto Magalhães (TO),97437,6121,20127,6785,26976,37428
1706100,Cristalândia (TO),124663,6192,37024,5946,28598,46902
1706258,Crixás do Tocantins (TO),48421,2040,19975,1206,9179,16021
1706506,Darcinópolis (TO),228367,11939,124467,3680,46862,41419
1707009,Dianópolis (TO),446106,30092,54460,62732,153625,145196
1707108,Divinópolis do Tocantins (TO),122633,7457,35105,4733,31217,44120
1707207,Dois Irmãos do Tocantins (TO),108139,4061,39557,2532,17899,44091
1707306,Dueré (TO),127024,5001,62608,4414,20584,34417
1707405,Esperantina (TO),98584,2332,10183,2094,13842,70134
1707553,Fátima (TO),78282,6746,8688,6112,28258,28478
1707652,Figueirópolis (TO),183628,15839,56211,5319,71493,34766
1707702,Filadélfia (TO),111413,3587,20253,5292,23970,58311
1708205,Formoso do Araguaia (TO),365806,23497,91549,26902,101055,122804
1708254,Fortaleza do Tabocão (TO),200088,31216,20024,5409,120205,23234
1708304,Goianorte (TO),81032,3870,23663,2937,16123,34439
1709005,Goiatins (TO),157725,5143,36781,5170,23397,87234
1709302,Guaraí (TO),697645,73791,48976,38412,366535,169932
1709500,Gurupi (TO),2325923,265003,44011,180929,1209285,626695
1709807,Ipueiras (TO),33083,884,10240,1217,4424,16318
1710508,Itacajá (TO),108959,5825,23053,3235,25538,51308
1710706,Itaguatins (TO),68607,1884,12851,2949,9487,41435
1710904,Itapiratins (TO),74384,2454,29738,2037,12599,27556
1711100,Itaporã do Tocantins (TO),46519,1815,18720,1153,6643,18188
1711506,Jaú do Tocantins (TO),63998,2001,20638,1872,9973,29515
1711803,Juarina (TO),30599,984,5830,782,5155,17849
1711902,Lagoa da Confusão (TO),527336,42701,190998,36455,166749,90434
1711951,Lagoa do Tocantins (TO),45685,1232,6603,1021,7013,29817
1712009,Lajeado (TO),68337,3571,1650,9177,16380,37558
1712157,Lavandeira (TO),25746,634,6056,846,3276,14934
1712405,Lizarda (TO),38789,872,8411,956,4800,23749
1712454,Luzinópolis (TO),45659,3037,5754,1412,12491,22964
1712504,Marianópolis do Tocantins (TO),146855,5841,71372,6766,26677,36198
1712702,Mateiros (TO),185915,3456,132369,5059,23873,21158
1712801,Maurilândia do Tocantins (TO),41931,1047,7294,912,6213,26465
1713205,Miracema do Tocantins (TO),614500,41335,93699,242002,106173,131292
1713304,Miranorte (TO),286024,26541,40494,13438,114655,90896
1713601,Monte do Carmo (TO),184901,3832,78205,30957,21277,50629
1713700,Monte Santo do Tocantins (TO),38118,1046,14549,946,4732,16844
1713809,Palmeiras do Tocantins (TO),73813,2248,13592,4694,10490,42789
1713957,Muricilândia (TO),47542,1079,13077,994,6464,25929
1714203,Natividade (TO),156567,8635,19909,28760,40433,58830
1714302,Nazaré (TO),48633,1843,6743,2367,9251,28429
1714880,Nova Olinda (TO),312101,47302,17452,31974,137446,77926
1715002,Nova Rosalândia (TO),56566,2764,11941,2014,11378,28469
1715101,Novo Acordo (TO),61672,2759,13357,1759,13390,30406
1715150,Novo Alegre (TO),29337,1010,4259,1400,5227,17440
1715259,Novo Jardim (TO),30832,1411,4427,796,4561,19637
1715507,Oliveira de Fátima (TO),20798,953,4315,566,4023,10942
1715705,Palmeirante (TO),88640,2806,29409,2166,10289,43971
1715754,Palmeirópolis (TO),124922,7296,18602,6552,38643,53829
1716109,Paraíso do Tocantins (TO),1389365,171228,23865,213217,648183,332871
1716208,Paranã (TO),243093,7848,26432,108725,28177,71911
1716307,Pau D'Arco (TO),70359,2466,20673,1594,11922,33705
1716505,Pedro Afonso (TO),478127,37946,181099,36016,130542,92524
1716604,Peixe (TO),754102,12366,264827,341865,51744,83299
1716653,Pequizeiro (TO),78631,3096,19736,2578,14450,38772
1716703,Colméia (TO),151861,9002,20636,8535,58618,55070
1717008,Pindorama do Tocantins (TO),58384,1818,12558,2215,9942,31852
1717206,Piraquê (TO),56933,1211,24328,1055,7272,23067
1717503,Pium (TO),196563,6726,103212,6933,26581,53111
1717800,Ponte Alta do Bom Jesus (TO),53250,3224,6785,1925,10474,30842
1717909,Ponte Alta do Tocantins (TO),93336,4042,13676,3866,18539,53214
1718006,Porto Alegre do Tocantins (TO),34849,1367,2688,1662,6429,22704
1718204,Porto Nacional (TO),1868578,235441,205993,239221,804304,383619
1718303,Praia Norte (TO),80909,1984,7891,2621,10984,57429
1718402,Presidente Kennedy (TO),52470,3253,8177,2526,13603,24910
1718451,Pugmil (TO),63457,5908,8567,4745,22531,21706
1718501,Recursolândia (TO),47714,1368,7277,892,7864,30313
